target_pnc,target_name,first-association,count-per-first-association
Gazprom-Schröder,Gerhard Schröder,lobbyismus,1
Gazprom-Schröder,Gerhard Schröder,käuflich,1
Gazprom-Schröder,Gerhard Schröder,kungelei mit gazprom,1
Gazprom-Schröder,Gerhard Schröder,enge verbindungen nach russland,1
Gazprom-Schröder,Gerhard Schröder,bestechlich,1
Gazprom-Schröder,Gerhard Schröder,früherer deutscher bundeskanzler,1
Gazprom-Schröder,Gerhard Schröder,ehemaliger deutscher kanzler,1
Gazprom-Schröder,Gerhard Schröder,schröder,1
Gazprom-Schröder,Gerhard Schröder,pipeline,1
Gedächtnislücken-Scholz,Olaf Scholz,cum-ex-affäre,2
Gedächtnislücken-Scholz,Olaf Scholz,wirecard,1
Gedächtnislücken-Scholz,Olaf Scholz,spd,1
Gedächtnislücken-Scholz,Olaf Scholz,bundeskanzler,1
Gedächtnislücken-Scholz,Olaf Scholz,christian olearius,1
